mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|NOUN|,|NOUN|,ELNÖK,ELNÖK
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|:|,|:|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|(|,|(|
False,|DET|,|DET|,|NOUN|,|DET|,|A|,|A|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|teremben|,|teremben|
False,|NOUN|,|ADJ|,|ADJ|,|ADJ|,|lévők|,|lévők|
True,|VERB|,|VERB|,|VERB|,|VERB|,|felállnak|,|felállnak|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
True,|PRON|,|PRON|,|PRON|,|PRON|,|ezzel|,|ezzel|
True,|VERB|,|VERB|,|VERB|,|VERB|,|köszöntik|,|köszöntik|
False,|DET|,|DET|,|NOUN|,|DET|,|a|,|a|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|választópolgárok|,|választópolgárok|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|közösségét|,|közösségét|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|.|,|.|
False,|ADV|,|ADV|,|CCONJ|,|PRON|,|Amikor|,|Amikor|
False,|DET|,|DET|,|PRON|,|DET|,|az|,|az|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|ülést|,|ülést|
False,|ADJ|,|ADJ|,|NOUN|,|ADJ|,|vezető|,|vezető|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|elnök|,|elnök|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|helyet|,|helyet|
True,|VERB|,|VERB|,|VERB|,|VERB|,|foglal|,|foglal|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|DET|,|DET|,|NOUN|,|DET|,|a|,|a|
True,|NOUN|,|NOUN|,|NOUN|,|NOUN|,|teremben|,|teremben|
False,|NOUN|,|NOUN|,|ADJ|,|ADJ|,|lévők|,|lévők|
False,|CCONJ|,|CCONJ|,|ADV|,|ADV|,|is|,|is|
True,|VERB|,|VERB|,|VERB|,|VERB|,|leülnek|,|leülnek.|
huspacy,|PUNCT|,|PUNCT|,|[]|,,|.|,
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|)|,|)|
False,|VERB|,|VERB|,|VERB|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|PROPN|,|NOUN|,|NOUN|,|Képviselőtársaim|,|Képviselőtársaim|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|!|,|!|
False,|DET|,|DET|,|PRON|,|DET|,|Az|,|Az|
False,|PROPN|,|PROPN|,|NOUN|,|NOUN|,|Országgyűlés|,|Országgyűlés|
True,|ADJ|,|ADJ|,|ADJ|,|ADJ|,|nyári|,|nyári|
True,|ADJ|,|ADJ|,|ADJ|,|ADJ|,|rendkívüli|,|rendkívüli|
